id	uid	created_at	Core Status
52886301	txn_41bebac04296213a61b9474cb89137c40e647f08dfe6a718e7c0b472a757cbe5	2021-07-06 02:37:56	SUCCESS
52886306	txn_4c49855360343e8e0fba21554ac39162a93db91c95c22c3cb4bc6931b527530a	2021-07-06 02:38:11	SUCCESS
52886311	txn_44d9c5e382880c36272963f658e41e8c711d591444e7d068eab1f2cf1d232796	2021-07-06 02:38:19	SUCCESS
52886325	txn_6b7368e6ec2e1bf6aa839de9f33c902a7489777d49429fb124379eb6295d3ee4	2021-07-06 02:38:56	SUCCESS
52886331	txn_170c8d40d30b0c5beadaf5409dc893446d67e7238cb439af20d702ed773dbb6a	2021-07-06 02:39:13	SUCCESS
52886337	txn_0f400654570dc51f1ca406021546ef0f29788983e96f1e045048d991e21a122e	2021-07-06 02:39:30	SUCCESS
52886376	txn_43b6c30d7599dbd5fc905bddea91b6a5d6aea160886119de536eebd323caaf23	2021-07-06 02:41:30	FAILURE
52886381	txn_de3a70f6eb625bdac5fd19f89d755768f8c91bb0f1153c9fc0e92f36d30b58e9	2021-07-06 02:41:40	SUCCESS
52886393	txn_40b5fb5044013edce06df2da0932e20707f6bda6651dbde13d928c4e4e915ae8	2021-07-06 02:42:14	SUCCESS
52886397	txn_9410c383eb4de588c86efc7852f68d76b493f2a766503ae916daa6cd9ea4e867	2021-07-06 02:42:24	SUCCESS
52886405	txn_e3697b468c17f02ada1f6e66d4dbaf9ac883672d178eeadd6e17d0e062a42a13	2021-07-06 02:42:42	SUCCESS
52886410	txn_33ba538d7b87fc16dc91ac2082b2c1225bd77bf6655b663ba191f4bb52c0937c	2021-07-06 02:42:51	SUCCESS
52886415	txn_d2628341174a64d2b4ad9b06914c941d91af0e7a3e757df1601b716534a05856	2021-07-06 02:43:03	SUCCESS
52886417	txn_f75b6a5dc3342cdb778b9822ca5507c8a6e32f2eacc1ceef1f460de7dfb0b986	2021-07-06 02:43:08	SUCCESS
52886442	txn_8ec9bec98c140ef3589bd7b88ecee4f49a953caaba24c703473f9a2e47802b1f	2021-07-06 02:44:04	SUCCESS
52886446	txn_f802f4a85f6b8fa8e0362721e73e4dea09fa07146c981b9e3c7707c894ea6f6e	2021-07-06 02:44:13	SUCCESS
52886452	txn_e07a6f4f5de93beb1cad63867869a1a53fc2043f7c9e0b2bd5368120272e0d71	2021-07-06 02:44:42	SUCCESS
52886465	txn_6f726e59f7b9458a250183802e1705eb9ff21ead60789c688710fea1f2a707de	2021-07-06 02:45:26	FAILURE
52886467	txn_0f6136c021d90d65ac7e18f30fe4b48b6cfd3d77bc77cb25c0c728772af363b5	2021-07-06 02:45:29	SUCCESS
52886475	txn_634f0936956500e2aa78bf6c2067d496a0d9303f11657a8f7e8da3d7cb1a64f0	2021-07-06 02:45:44	FAILURE
52886486	txn_e9cd988e3b9c75e4bbb5b1ef7b8ad8dc241de06c9152f3182aec93fbd1fb1bee	2021-07-06 02:46:06	SUCCESS
52886489	txn_8190d057919e75fcb1724210b3936973d574115ed89db022e7af6c6466978fa8	2021-07-06 02:46:12	SUCCESS
